stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"205-03","","桜ヶ丘","","40.498511","141.545879","Z205-03","","0","","","",""
"804-02","","霊園南口","","40.500335","141.548081","Z804-02","","0","","","",""
"426-02","","西の平","","40.501523","141.550390","Z426-02","","0","","","",""
"529-02","","東霊園","","40.505217","141.549929","Z529-02","","0","","","",""
"602-02","","巻目","","40.507342","141.547026","Z602-02","","0","","","",""
"207-01","","さくら幼稚園前","","40.508694","141.545363","Z207-01","","0","","","",""
"138-01","","北高校通","","40.512280","141.543996","Z138-01","","0","","","",""
"165-01","","小松平","","40.513783","141.543833","Z165-01","","0","","","",""
"806-01","","労災病院前","","40.517431","141.543381","Z806-01","","0","","","",""
"805-04","","労災病院通","","40.520137","141.543983","Z805-04","","0","","","",""
"565-02","","デーリー東北新聞社前","","40.518150","141.489078","Z565-02","","0","","","",""
"251-02","","城下一丁目","","40.519971","141.490864","Z251-02","","0","","","",""
"254-02","","城下四丁目","","40.522479","141.491360","Z254-02","","0","","","",""
"434-02","","沼館一丁目","","40.525680","141.491995","Z434-02","","0","","","",""
"435-02","","沼館三丁目","","40.529650","141.492765","Z435-02","","0","","","",""
"284-01","","シンフォニープラザ","","40.530090","141.495422","Z284-01","","0","","","",""
"554-01","","ピアドゥ前","","40.526163","141.497461","Z554-01","","0","","","",""
"710-01","","ピアドゥ東側広場前","","40.527783","141.498244","Z710-01","","0","","","",""
"557-01","","ピアドゥベイパーク前","","40.529317","141.500611","Z557-01","","0","","","",""
"430-02","","北日本造船前","","40.525700","141.501811","Z430-02","","0","","","",""
"649-01","","盲ろう学校通","","40.516331","141.505557","Z649-01","","0","","","",""
"625-01","","緑町","","40.515739","141.503933","Z625-01","","0","","","",""
"104-01","","柏崎新町","","40.514236","141.500955","Z104-01","","0","","","",""
"30-02","","ＮＴＴ前","","40.514576","141.499495","Z30-02","","0","","","",""
"228-02","","下組町","","40.516083","141.502211","Z228-02","","0","","","",""
"203-02","","栄町","","40.518108","141.506071","Z203-02","","0","","","",""
"40-02","","大町一丁目","","40.519481","141.509567","Z40-02","","0","","","",""
"41-02","","大町二丁目","","40.520000","141.510989","Z41-02","","0","","","",""
"38-02","","大杉平バスセンター","","40.499185","141.481745","Z38-02","","0","","","",""
"119-02","","上大杉平","","40.497202","141.481598","Z119-02","","0","","","",""
"329-02","","長者中学校前","","40.491040","141.479148","Z329-02","","0","","","",""
"542-02","","二ツ家","","40.486213","141.479696","Z542-02","","0","","","",""
"127-01","","上二ツ家","","40.484902","141.479909","Z127-01","","0","","","",""
"542-01","","二ツ家","","40.486621","141.479425","Z542-01","","0","","","",""
"329-01","","長者中学校前","","40.490483","141.479000","Z329-01","","0","","","",""
"119-01","","上大杉平","","40.496953","141.481444","Z119-01","","0","","","",""
"631-02","","湊本町","","40.524070","141.523831","Z631-02","","0","","","",""
"262-02","","新湊二丁目","","40.526534","141.526819","Z262-02","","0","","","",""
"142-02","","漁港通","","40.525140","141.530945","Z142-02","","0","","","",""
"35-02","","大沢","","40.523746","141.532457","Z35-02","","0","","","",""
"618-02","","三島下","","40.522800","141.537028","Z618-02","","0","","","",""
"246-02","","白銀","","40.522605","141.541791","Z246-02","","0","","","",""
"223-02","","清水川","","40.524604","141.545825","Z223-02","","0","","","",""
"264-01","","水産高校前","","40.528014","141.552907","Z264-01","","0","","","",""
"220-05","","忍町","","40.529964","141.555935","Z220-05","","0","","","",""
"223-01","","清水川","","40.524770","141.546041","Z223-01","","0","","","",""
"246-01","","白銀","","40.522509","141.542303","Z246-01","","0","","","",""
"618-01","","三島下","","40.522702","141.537445","Z618-01","","0","","","",""
"35-01","","大沢","","40.523574","141.532965","Z35-01","","0","","","",""
"142-01","","漁港通","","40.525243","141.530871","Z142-01","","0","","","",""
"262-01","","新湊二丁目","","40.526585","141.527106","Z262-01","","0","","","",""
"631-01","","湊本町","","40.524038","141.524058","Z631-01","","0","","","",""
"637-01","","南横町","","40.521723","141.521815","Z637-01","","0","","","",""
"29-01","","浦町","","40.521483","141.518784","Z29-01","","0","","","",""
"405-01","","中条","","40.519303","141.514367","Z405-01","","0","","","",""
"651-01","","小中野三丁目","","40.517688","141.510526","Z651-01","","0","","","",""
"163-01","","小中野二丁目","","40.516779","141.507225","Z163-01","","0","","","",""
"701-01","","柳橋","","40.520114","141.522456","Z701-01","","0","","","",""
"268-01","","諏訪河原","","40.516847","141.517810","Z268-01","","0","","","",""
