service_id,date,exception_type
平日,20260429,2
土日祝,20260429,1
平日,20260504,2
土日祝,20260504,1
平日,20260505,2
土日祝,20260505,1
平日,20260506,2
土日祝,20260506,1
平日,20260720,2
土日祝,20260720,1
平日,20260811,2
土日祝,20260811,1
平日,20260921,2
土日祝,20260921,1
平日,20260922,2
土日祝,20260922,1
平日,20260923,2
土日祝,20260923,1
平日,20261012,2
土日祝,20261012,1
平日,20261103,2
土日祝,20261103,1
平日,20261123,2
土日祝,20261123,1
